Variable,LLM MAE,Stat N5 MAE,Stat N10 MAE,Stat N20 MAE,Stat N30 MAE
easy_6,8.732271812439418,6.475657221661051,4.4442328849149275,3.527089991792352,2.6330311174077075
easy_7,0.09681157873217101,0.2146933545521992,0.15893405518275888,0.10621450134834054,0.07105431664380062
easy_8,0.15702321348196607,0.1351609227874887,0.15163613551485264,0.08537081353588968,0.08045810478458054
easy_9,0.15264072259407185,0.18773425941615887,0.1272243111306255,0.11579699117845887,0.06228074601665285
hard_0,0.012544656292455839,0.09160910805710439,0.06953382272793827,0.032434684531988306,0.020622226812634984
hard_1,1.10159184933512,0.46861743598453287,0.21096861662458494,0.009269584007869756,0.004252222510088367
hard_10,0.34592507967370345,0.06062831945976078,0.021189880885536288,0.0367598167474217,0.0367598167474217
hard_11,15.299458167478297,1.2883159369033315,0.3830286668488577,0.02738883713489537,0.02738883713489168
hard_12,0.10568117492837655,0.1395679449296283,0.08515288861979832,0.04102450523892234,0.025185912549424195
hard_13,0.1215011239229633,0.15781437141860047,0.12317043719132043,0.062352197249821,0.024392006705307043
hard_14,0.2194391360028765,0.45604801424229147,0.18700625750610328,0.09204746903790592,0.08034011848421446
hard_15,0.11554399711404004,0.10200934480627238,0.08263882026925275,0.04012560363546053,0.01769919297504188
hard_16,5.410861923837888,9.133918066388501,3.575942131800466,0.11905628586956933,0.11905628586957728
hard_17,0.054187823597961496,0.11744616850727288,0.06186235567399152,0.032363167590719104,0.022811099168059866
hard_18,0.10145450709992601,0.13409946583206295,0.10222562025181571,0.059999221750113116,0.049284575520310916
hard_19,0.0258686052486214,0.1231663262492186,0.06765334792697872,0.03663897362492478,0.022008392639544815
hard_2,6.425367228422138,2.388210841173975,1.5456898947164392,0.9102721984048264,0.2794977507908402
hard_3,0.07816884332386798,0.10589566267599279,0.0633819052532814,0.04631929000852352,0.046319290008523514
hard_4,0.0359492212874251,0.09462055746879112,0.06841981393277896,0.036923183738107344,0.032034492690294875
hard_5,5.140959344589985,6.198586425305772,4.029531349847506,2.4453530635906446,1.7599317349655297
hard_6,0.09088684085126415,0.1046727510609658,0.07736315206023062,0.02938444216042654,0.02441121194052847
hard_7,0.5574851109390191,0.648086897448498,0.6529366443810393,0.5998125333712361,0.6551011589416963
hard_8,0.02549373150332006,0.1056647268836478,0.057551211094965984,0.03894075624823301,0.03731154844560329
hard_9,0.03787544111108192,0.07191947244875468,0.03635730090976288,0.022816382520717576,0.016730564770576675
medium_0,0.3612390613257318,0.185887858948164,0.16377649783455264,0.12456905394853329,0.07251362925514496
medium_1,0.10478701161766332,0.11965360143583956,0.1171854872563638,0.1141096068299758,0.10534318892432637
medium_10,0.13109667172088482,0.12396496640938967,0.06136277981661809,0.03091939061244309,0.02670703890000644
medium_11,5.529520259856573,4.936388046991254,3.2440610060688067,1.86958938237001,1.3422222444454672
medium_12,8.201642629797831,3.2144264019407256,1.6237106273854436,1.1784403207123386,0.7653264688369978
medium_13,0.27615559462574896,0.3097626566443113,0.3330741998906106,0.3027127526150815,0.2698400888315191
medium_14,0.0664398910676242,0.07678068172121306,0.08463536564952583,0.073674489261048,0.07398919026735017
medium_15,1.1791349110604301,6.096631228239789,4.831933608889278,2.3228701568465384,1.1167935892724636
medium_16,0.016059923238116877,0.12154135533353772,0.07496546538955402,0.03677380962094302,0.031043695851985128
medium_17,0.0632505681533097,0.0962751101800214,0.08420594613859983,0.05580305865849155,0.030911949392740685
medium_18,0.11759391016096314,0.07898547686275893,0.06429338981732063,0.033855848859048014,0.020057865909084573
medium_19,0.1974519186298081,0.23902984465963167,0.2736401694598769,0.1772872190532808,0.16478060232106034
medium_2,0.027141036463240703,0.09348715462423249,0.05485862024869452,0.053534554762935095,0.04960505168463624
medium_3,11.173995930187399,3.126659468287638,2.0063023301827903,1.2542987334328777,1.4399510712358705
medium_4,0.030817000563310944,0.10905167095619467,0.057671380833944734,0.03271870834074162,0.032554792505867236
medium_5,0.05660029621020485,0.10430840942503378,0.057333303592208285,0.032223414056120024,0.018956092995648537
medium_6,0.12974897615744593,0.1635273600589052,0.09162046854752427,0.02386028017723287,0.00031830187443616
medium_7,0.02441196914601352,0.15101194890569597,0.10144844021139617,0.04530503343272227,0.03243403689058408
medium_8,14.12796232985769,0.7517016556478066,0.45532175348600956,0.11525136827623211,0.026978677935162464
medium_9,0.24648761942849698,0.3870919784847988,0.3769663007841775,0.40301470652069016,0.4006827180125106
