,z
1246,0.8775852824660727
1252,0.6526322941400386
1258,0.05971163702014336
1264,0.5656754484941935
1270,0.49549750603097065
1276,2.2779954372897877
1282,0.30410872918488663
1288,0.5087987603647848
1294,1.9947991860374799
1300,0.2870230051081245
1306,1.2666344839006092
1312,0.293782376007643
1318,0.8564965403162175
1324,1.589708904265384
1330,0.07528063356484767
1336,0.368693057644107
1342,0.4870673515242182
1348,0.42170780869797575
1354,2.958745619171267
1360,4.028389112497866
1366,1.4745955124269072
1372,2.563631911445013
1378,0.28662038532490536
1384,2.6275038548217213
1390,0.6025646043104382
1396,0.48874246427620305
1402,0.18778646736874124
1408,1.077369807354927
1414,0.5357150458857594
1420,0.18333024898931854
1426,1.0764936061856607
1432,0.523188418844943
1438,5.550834089652525
1444,0.7266288013600266
1450,0.12100094834629775
1456,0.7352884384074608
1462,0.11427458029250198
1468,0.6560651668638867
1474,0.13887108994030958
1480,1.028909552362199
1486,0.06630001511159699
1492,0.271396671756326
1498,1.413876813589254
1504,0.2083918450851381
1510,3.281658468028032
1516,1.1220453020732364
1522,0.14267250131293727
1528,1.7718956589876453
1534,1.752457587401407
1540,0.47407750984176367
1546,0.16608349244508744
1552,2.736351811859363
1558,4.05989163349566
1564,2.1169249708307074
1570,1.8559603246639644
1576,0.9317646401599127
1582,1.6561317020983743
1588,0.1369539746126293
1594,2.2296177809486064
1600,4.155646184067915
1606,1.0885150023177208
1612,0.3767156304562851
1618,0.5433831733253099
1624,0.1627724037728293
1630,0.07047967229499222
1636,2.580068652560376
1642,3.429509647777925
1648,0.8652219165258135
1654,0.7926602945528843
1660,0.10891366977103874
1666,0.7865137778367987
1672,0.6079888048894503
1678,0.3859040519713147
1684,1.3669404382996386
1690,0.3128455104007935
1696,0.6524534458868244
1702,0.05854082060798369
1708,1.0199901797395945
1714,1.237108584207971
1720,2.020400046811195
1726,1.0324740916754676
1732,0.5461173281733236
1738,1.7298661240249866
1744,0.26467234608738305
1750,0.8299096716639427
1756,0.16327010578796794
1762,0.6464877540647331
1768,3.2255924659715376
